Number,Steps
2752,5 steps
2753,7 steps
2754,7 steps
2755,6 steps
2756,7 steps
2757,7 steps
2758,1 step
2759,5 steps
2760,3 steps
2761,4 steps
2762,5 steps
2763,5 steps
2764,7 steps
2765,7 steps
2766,6 steps
2767,7 steps
2768,7 steps
2769,3 steps
2770,5 steps
2771,5 steps
2772,5 steps
2773,5 steps
2774,5 steps
2775,7 steps
2776,7 steps
2777,6 steps
2778,6 steps
2779,4 steps
2780,7 steps
2781,5 steps
2782,5 steps
2783,4 steps
2784,3 steps
2785,1 step
2786,7 steps
2787,6 steps
2788,7 steps
2789,3 steps
2790,7 steps
2791,7 steps
2792,5 steps
2793,3 steps
2794,6 steps
2795,5 steps
2796,3 steps
2797,4 steps
2798,3 steps
2799,5 steps
2800,6 steps
2801,3 steps
2802,6 steps
2803,3 steps
2804,6 steps
2805,5 steps
2806,2 steps
2807,7 steps
2808,2 steps
2809,7 steps
2810,3 steps
2811,3 steps
2812,4 steps
2813,3 steps
2814,5 steps
2815,6 steps
2816,3 steps
2817,5 steps
2818,3 steps
2819,2 steps
2820,6 steps
2821,4 steps
2822,6 steps
2823,7 steps
2824,1 step
2825,3 steps
2826,4 steps
2827,5 steps
2828,4 steps
2829,3 steps
2830,3 steps
2831,3 steps
2832,7 steps
2833,6 steps
2834,7 steps
2835,1 step
2836,3 steps
2837,4 steps
2838,5 steps
2839,5 steps
2840,6 steps
2841,5 steps
2842,1 step
2843,7 steps
2844,6 steps
2845,7 steps
2846,1 step
2847,3 steps
2848,4 steps
2849,3 steps
2850,5 steps
2851,6 steps
2852,3 steps
2853,1 step
2854,7 steps
2855,6 steps
2856,7 steps
2857,1 step
2858,3 steps
2859,6 steps
2860,2 steps
2861,3 steps
2862,4 steps
2863,3 steps
2864,1 step
2865,7 steps
2866,6 steps
2867,7 steps
2868,1 step
2869,5 steps
2870,7 steps
2871,5 steps
2872,5 steps
2873,4 steps
2874,3 steps
2875,1 step
2876,7 steps
2877,6 steps
2878,7 steps
2879,3 steps
2880,2 steps
2881,3 steps
2882,4 steps
2883,5 steps
2884,4 steps
2885,3 steps
2886,1 step
2887,7 steps
2888,6 steps
2889,4 steps
2890,7 steps
2891,2 steps
2892,3 steps
2893,5 steps
2894,3 steps
2895,6 steps
2896,5 steps
2897,3 steps
2898,4 steps
2899,3 steps
2900,3 steps
2901,4 steps
2902,4 steps
2903,4 steps
2904,3 steps
2905,3 steps
2906,7 steps
2907,7 steps
2908,7 steps
2909,3 steps
2910,4 steps
2911,3 steps
2912,6 steps
2913,3 steps
2914,6 steps
2915,5 steps
2916,2 steps
2917,7 steps
2918,2 steps
2919,5 steps
2920,4 steps
2921,6 steps
2922,4 steps
2923,3 steps
2924,5 steps
2925,6 steps
2926,3 steps
2927,5 steps
2928,3 steps
2929,6 steps
2930,4 steps
2931,3 steps
2932,3 steps
2933,4 steps
2934,3 steps
2935,5 steps
2936,6 steps
2937,3 steps
2938,5 steps
2939,3 steps
2940,3 steps
2941,6 steps
2942,5 steps
2943,3 steps
2944,4 steps
2945,3 steps
2946,5 steps
2947,6 steps
2948,3 steps
2949,5 steps
2950,3 steps
2951,5 steps
2952,6 steps
2953,5 steps
2954,3 steps
2955,4 steps
2956,3 steps
2957,5 steps
2958,6 steps
2959,3 steps
2960,7 steps
2961,2 steps
2962,3 steps
2963,6 steps
2964,5 steps
2965,3 steps
2966,4 steps
2967,3 steps
2968,5 steps
2969,6 steps
2970,7 steps
2971,7 steps
2972,5 steps
2973,3 steps
2974,6 steps
2975,5 steps
2976,3 steps
2977,4 steps
2978,3 steps
2979,5 steps
2980,7 steps
2981,2 steps
2982,3 steps
2983,5 steps
2984,3 steps
2985,6 steps
2986,5 steps
2987,3 steps
2988,4 steps
2989,3 steps
2990,3 steps
2991,5 steps
2992,6 steps
2993,3 steps
2994,5 steps
2995,3 steps
2996,6 steps
2997,5 steps
2998,3 steps
2999,4 steps
3000,6 steps
3001,3 steps
3002,5 steps
3003,6 steps
3004,3 steps
3005,5 steps
3006,3 steps
3007,6 steps
3008,5 steps
3009,3 steps
3010,3 steps
3011,6 steps
3012,3 steps
3013,5 steps
3014,2 steps
3015,7 steps
3016,1 step
3017,5 steps
3018,6 steps
3019,3 steps
3020,5 steps
3021,3 steps
3022,6 steps
3023,3 steps
3024,7 steps
3025,7 steps
3026,7 steps
3027,3 steps
3028,3 steps
3029,4 steps
3030,6 steps
3031,5 steps
3032,3 steps
3033,6 steps
3034,4 steps
3035,6 steps
3036,6 steps
3037,4 steps
3038,6 steps
3039,4 steps
3040,3 steps
3041,2 steps
3042,7 steps
3043,4 steps
3044,7 steps
3045,7 steps
3046,7 steps
3047,3 steps
3048,3 steps
3049,4 steps
3050,5 steps
3051,7 steps
3052,7 steps
3053,6 steps
3054,7 steps
3055,7 steps
3056,1 step
3057,5 steps
3058,6 steps
3059,3 steps
3060,3 steps
3061,1 step
3062,7 steps
3063,6 steps
3064,7 steps
3065,1 step
3066,3 steps
3067,6 steps
3068,5 steps
3069,3 steps
3070,6 steps
3071,5 steps
3072,3 steps
3073,4 steps
3074,3 steps
3075,5 steps
3076,6 steps
3077,3 steps
3078,2 steps
3079,7 steps
3080,5 steps
3081,6 steps
3082,3 steps
3083,6 steps
3084,3 steps
3085,6 steps
3086,5 steps
3087,2 steps
3088,7 steps
3089,7 steps
3090,3 steps
3091,3 steps
3092,4 steps
3093,4 steps
3094,4 steps
3095,3 steps
3096,3 steps
3097,7 steps
3098,7 steps
3099,7 steps
3100,3 steps
3101,6 steps
3102,3 steps
3103,5 steps
3104,2 steps
3105,7 steps
3106,1 step
3107,5 steps
3108,6 steps
3109,3 steps
3110,6 steps
3111,4 steps
3112,3 steps
3113,6 steps
3114,5 steps
3115,2 steps
3116,7 steps
3117,1 step
3118,5 steps
3119,6 steps
3120,3 steps
3121,3 steps
3122,4 steps
3123,3 steps
3124,3 steps
3125,7 steps
3126,7 steps
3127,7 steps
3128,3 steps
3129,3 steps
3130,5 steps
3131,6 steps
3132,3 steps
3133,4 steps
3134,6 steps
3135,4 steps
3136,6 steps
3137,6 steps
3138,4 steps
3139,6 steps
3140,2 steps
3141,5 steps
3142,3 steps
3143,6 steps
3144,3 steps
3145,7 steps
3146,7 steps
3147,7 steps
3148,3 steps
3149,3 steps
3150,7 steps
3151,2 steps
3152,7 steps
3153,4 steps
3154,7 steps
3155,2 steps
3156,7 steps
3157,1 step
3158,5 steps
3159,6 steps
3160,1 step
3161,7 steps
3162,7 steps
3163,6 steps
3164,7 steps
3165,7 steps
3166,5 steps
3167,3 steps
3168,6 steps
3169,5 steps
3170,5 steps
3171,1 step
3172,7 steps
3173,6 steps
3174,7 steps
3175,1 step
3176,3 steps
3177,4 steps
3178,3 steps
3179,2 steps
3180,6 steps
3181,5 steps
3182,3 steps
3183,4 steps
3184,3 steps
3185,5 steps
3186,6 steps
3187,3 steps
3188,5 steps
3189,7 steps
3190,3 steps
3191,6 steps
3192,3 steps
3193,6 steps
3194,3 steps
3195,6 steps
3196,5 steps
3197,2 steps
3198,7 steps
3199,2 steps
3200,5 steps
3201,3 steps
3202,6 steps
3203,3 steps
3204,7 steps
3205,7 steps
3206,7 steps
3207,3 steps
3208,3 steps
3209,4 steps
3210,3 steps
3211,3 steps
3212,4 steps
3213,3 steps
3214,3 steps
3215,7 steps
3216,7 steps
3217,7 steps
3218,3 steps
3219,3 steps
3220,6 steps
3221,4 steps
3222,5 steps
3223,4 steps
3224,3 steps
3225,3 steps
3226,7 steps
3227,7 steps
3228,7 steps
3229,3 steps
3230,3 steps
3231,3 steps
3232,4 steps
3233,5 steps
3234,4 steps
3235,6 steps
3236,4 steps
3237,6 steps
3238,6 steps
3239,4 steps
3240,7 steps
3241,3 steps
3242,3 steps
3243,4 steps
3244,3 steps
3245,3 steps
3246,7 steps
3247,7 steps
3248,7 steps
3249,3 steps
3250,7 steps
3251,7 steps
3252,3 steps
3253,6 steps
3254,3 steps
3255,5 steps
3256,2 steps
3257,7 steps
3258,1 step
3259,5 steps
3260,7 steps
3261,7 steps
3262,7 steps
3263,4 steps
3264,7 steps
3265,2 steps
3266,3 steps
3267,5 steps
3268,3 steps
3269,6 steps
3270,3 steps
3271,7 steps
3272,7 steps
3273,6 steps
3274,7 steps
3275,7 steps
3276,5 steps
3277,5 steps
3278,4 steps
3279,3 steps
3280,3 steps
3281,3 steps
3282,7 steps
3283,6 steps
3284,7 steps
3285,1 step
3286,3 steps
3287,4 steps
3288,5 steps
3289,5 steps
3290,4 steps
3291,3 steps
3292,3 steps
3293,4 steps
3294,3 steps
3295,5 steps
3296,6 steps
3297,3 steps
3298,5 steps
3299,3 steps
3300,6 steps
3301,5 steps
3302,3 steps
3303,6 steps
3304,4 steps
3305,6 steps
3306,6 steps
3307,4 steps
3308,6 steps
3309,4 steps
3310,5 steps
3311,6 steps
3312,3 steps
3313,4 steps
3314,6 steps
3315,4 steps
3316,6 steps
3317,6 steps
3318,4 steps
3319,6 steps
3320,3 steps
3321,3 steps
3322,4 steps
3323,5 steps
3324,4 steps
3325,6 steps
3326,4 steps
3327,6 steps
3328,6 steps
3329,4 steps
3330,6 steps
3331,4 steps
3332,5 steps
3333,invalid number
3334,5 steps
3335,4 steps
3336,6 steps
3337,4 steps
3338,6 steps
3339,6 steps
3340,4 steps
3341,6 steps
3342,4 steps
3343,5 steps
3344,4 steps
3345,3 steps
3346,3 steps
3347,7 steps
3348,7 steps
3349,7 steps
3350,6 steps
3351,4 steps
3352,6 steps
3353,4 steps
3354,3 steps
3355,6 steps
3356,5 steps
3357,2 steps
3358,7 steps
3359,1 step
3360,6 steps
3361,6 steps
3362,4 steps
3363,6 steps
3364,3 steps
3365,5 steps
3366,6 steps
3367,3 steps
3368,5 steps
3369,3 steps
3370,4 steps
3371,6 steps
3372,6 steps
3373,4 steps
3374,7 steps
3375,2 steps
3376,3 steps
3377,4 steps
3378,5 steps
3379,4 steps
3380,6 steps
3381,4 steps
3382,6 steps
3383,6 steps
3384,7 steps
3385,7 steps
3386,5 steps
3387,5 steps
3388,5 steps
3389,5 steps
3390,4 steps
3391,6 steps
3392,4 steps
3393,6 steps
3394,7 steps
3395,1 step
3396,3 steps
3397,4 steps
3398,5 steps
3399,4 steps
3400,3 steps
3401,2 steps
3402,7 steps
3403,4 steps
3404,7 steps
3405,7 steps
3406,7 steps
3407,3 steps
3408,3 steps
3409,4 steps
3410,2 steps
3411,5 steps
3412,3 steps
3413,6 steps
3414,3 steps
3415,7 steps
3416,7 steps
3417,7 steps
3418,3 steps
3419,3 steps
3420,7 steps
3421,3 steps
3422,3 steps
3423,4 steps
3424,3 steps
3425,3 steps
3426,7 steps
3427,7 steps
3428,7 steps
3429,3 steps
3430,4 steps
3431,6 steps
3432,4 steps
3433,5 steps
3434,4 steps
3435,3 steps
3436,3 steps
3437,7 steps
3438,7 steps
3439,7 steps
3440,7 steps
3441,3 steps
3442,3 steps
3443,4 steps
3444,5 steps
3445,4 steps
3446,6 steps
3447,4 steps
3448,6 steps
3449,6 steps
3450,7 steps
3451,7 steps
3452,3 steps
3453,3 steps
3454,4 steps
3455,3 steps
3456,3 steps
3457,7 steps
3458,7 steps
3459,7 steps
3460,7 steps
3461,7 steps
3462,7 steps
3463,3 steps
3464,6 steps
3465,3 steps
3466,5 steps
3467,2 steps
3468,7 steps
3469,1 step
3470,3 steps
3471,7 steps
3472,7 steps
3473,7 steps
3474,4 steps
3475,7 steps
3476,2 steps
3477,3 steps
3478,5 steps
3479,3 steps
3480,3 steps
3481,3 steps
3482,7 steps
3483,7 steps
3484,6 steps
3485,7 steps
3486,7 steps
3487,5 steps
3488,5 steps
3489,4 steps
3490,4 steps
3491,3 steps
3492,3 steps
3493,7 steps
3494,6 steps
3495,7 steps
3496,1 step
3497,3 steps
3498,4 steps
3499,5 steps
3500,5 steps
3501,7 steps
3502,7 steps
3503,6 steps
3504,7 steps
3505,7 steps
3506,1 step
3507,5 steps
3508,6 steps
3509,3 steps
3510,7 steps
3511,2 steps
3512,7 steps
3513,4 steps
3514,7 steps
3515,2 steps
3516,7 steps
3517,1 step
3518,5 steps
3519,6 steps
3520,7 steps
3521,7 steps
3522,3 steps
3523,6 steps
3524,3 steps
3525,5 steps
3526,2 steps
3527,7 steps
3528,1 step
3529,5 steps
3530,6 steps
3531,4 steps
3532,6 steps
3533,4 steps
3534,3 steps
3535,6 steps
3536,5 steps
3537,2 steps
3538,7 steps
3539,1 step
3540,7 steps
3541,7 steps
3542,3 steps
3543,3 steps
3544,4 steps
3545,3 steps
3546,3 steps
3547,7 steps
3548,7 steps
3549,7 steps
3550,7 steps
3551,2 steps
3552,5 steps
3553,6 steps
3554,3 steps
3555,4 steps
3556,6 steps
3557,4 steps
3558,6 steps
3559,6 steps
3560,1 step
3561,7 steps
3562,2 steps
3563,5 steps
3564,3 steps
3565,6 steps
3566,3 steps
3567,7 steps
3568,7 steps
3569,7 steps
3570,5 steps
3571,1 step
3572,7 steps
3573,2 steps
3574,7 steps
3575,4 steps
3576,7 steps
3577,2 steps
3578,7 steps
3579,1 step
3580,6 steps
3581,5 steps
3582,1 step
3583,7 steps
3584,7 steps
3585,6 steps
3586,7 steps
3587,7 steps
3588,5 steps
3589,3 steps
3590,3 steps
3591,6 steps
3592,5 steps
3593,1 step
3594,7 steps
3595,6 steps
3596,7 steps
3597,1 step
3598,3 steps
3599,4 steps
3600,3 steps
3601,1 step
3602,7 steps
3603,6 steps
3604,7 steps
3605,1 step
3606,3 steps
3607,6 steps
3608,5 steps
3609,3 steps
3610,1 step
3611,7 steps
3612,7 steps
3613,6 steps
3614,7 steps
3615,7 steps
3616,5 steps
3617,3 steps
3618,6 steps
3619,5 steps
3620,7 steps
3621,7 steps
3622,7 steps
3623,4 steps
3624,7 steps
3625,2 steps
3626,3 steps
3627,5 steps
3628,3 steps
3629,6 steps
3630,6 steps
3631,6 steps
3632,4 steps
3633,6 steps
3634,3 steps
3635,5 steps
3636,6 steps
3637,3 steps
3638,5 steps
3639,3 steps
3640,7 steps
3641,7 steps
3642,7 steps
3643,3 steps
3644,6 steps
3645,3 steps
3646,5 steps
3647,2 steps
3648,7 steps
3649,1 step
3650,1 step
3651,7 steps
3652,2 steps
3653,5 steps
3654,3 steps
3655,6 steps
3656,3 steps
3657,7 steps
3658,7 steps
3659,7 steps
3660,3 steps
3661,5 steps
3662,3 steps
3663,6 steps
3664,5 steps
3665,3 steps
3666,6 steps
3667,4 steps
3668,6 steps
3669,6 steps
3670,6 steps
3671,3 steps
3672,5 steps
3673,3 steps
3674,2 steps
3675,7 steps
3676,4 steps
3677,7 steps
3678,7 steps
3679,7 steps
3680,5 steps
3681,6 steps
3682,3 steps
3683,5 steps
3684,7 steps
3685,7 steps
3686,6 steps
3687,7 steps
3688,7 steps
3689,1 step
3690,3 steps
3691,5 steps
3692,6 steps
3693,3 steps
3694,1 step
3695,7 steps
3696,6 steps
3697,7 steps
3698,1 step
3699,3 steps
3700,6 steps
3701,5 steps
3702,3 steps
3703,4 steps
3704,3 steps
3705,5 steps
3706,6 steps
3707,3 steps
3708,2 steps
3709,7 steps
3710,5 steps
3711,1 step
3712,7 steps
3713,6 steps
3714,7 steps
3715,1 step
3716,3 steps
3717,4 steps
3718,3 steps
3719,2 steps
3720,3 steps
3721,7 steps
3722,7 steps
3723,6 steps
3724,7 steps
3725,7 steps
3726,5 steps
3727,5 steps
3728,4 steps
3729,3 steps
3730,4 steps
3731,6 steps
3732,6 steps
3733,4 steps
3734,7 steps
3735,2 steps
3736,3 steps
3737,4 steps
3738,5 steps
3739,4 steps
3740,3 steps
3741,7 steps
3742,7 steps
3743,7 steps
3744,4 steps
3745,7 steps
3746,2 steps
3747,3 steps
3748,5 steps
3749,3 steps
3750,5 steps
3751,1 step
3752,7 steps
3753,2 steps
3754,7 steps
3755,4 steps
3756,7 steps
3757,2 steps
3758,7 steps
3759,1 step
3760,6 steps
3761,3 steps
3762,5 steps
3763,3 steps
3764,2 steps
3765,7 steps
3766,4 steps
3767,7 steps
3768,7 steps
3769,7 steps
3770,3 steps
3771,4 steps
3772,5 steps
3773,4 steps
3774,3 steps
3775,2 steps
3776,7 steps
3777,4 steps
3778,6 steps
3779,6 steps
3780,2 steps
3781,3 steps
3782,4 steps
3783,5 steps
3784,5 steps
3785,7 steps
3786,7 steps
3787,6 steps
3788,7 steps
3789,7 steps
3790,7 steps
3791,2 steps
3792,3 steps
3793,4 steps
3794,3 steps
3795,1 step
3796,7 steps
3797,6 steps
3798,7 steps
3799,1 step
3800,5 steps
3801,6 steps
3802,3 steps
3803,6 steps
3804,3 steps
3805,6 steps
3806,5 steps
3807,2 steps
3808,7 steps
3809,7 steps
3810,6 steps
3811,5 steps
3812,3 steps
3813,4 steps
3814,3 steps
3815,5 steps
3816,6 steps
3817,3 steps
3818,5 steps
3819,7 steps
3820,3 steps
3821,3 steps
3822,7 steps
3823,6 steps
3824,7 steps
3825,1 step
3826,3 steps
3827,4 steps
3828,5 steps
3829,5 steps
3830,6 steps
3831,4 steps
3832,6 steps
3833,6 steps
3834,7 steps
3835,7 steps
3836,5 steps
3837,5 steps
3838,5 steps
3839,5 steps
3840,3 steps
3841,3 steps
3842,7 steps
3843,7 steps
3844,6 steps
3845,7 steps
3846,7 steps
3847,5 steps
3848,5 steps
3849,4 steps
3850,6 steps
3851,5 steps
3852,1 step
3853,7 steps
3854,7 steps
3855,6 steps
3856,7 steps
3857,7 steps
3858,5 steps
3859,3 steps
3860,5 steps
3861,6 steps
3862,3 steps
3863,5 steps
3864,7 steps
3865,7 steps
3866,6 steps
3867,7 steps
3868,7 steps
3869,1 step
3870,2 steps
3871,3 steps
3872,4 steps
3873,5 steps
3874,5 steps
3875,7 steps
3876,7 steps
3877,6 steps
3878,7 steps
3879,7 steps
3880,7 steps
3881,5 steps
3882,5 steps
3883,5 steps
3884,5 steps
3885,5 steps
3886,7 steps
3887,7 steps
3888,6 steps
3889,6 steps
3890,7 steps
3891,7 steps
3892,5 steps
3893,5 steps
3894,4 steps
3895,3 steps
3896,1 step
3897,7 steps
3898,6 steps
3899,7 steps
3900,3 steps
3901,3 steps
3902,4 steps
3903,4 steps
3904,4 steps
3905,3 steps
3906,3 steps
3907,7 steps
3908,7 steps
3909,7 steps
3910,3 steps
3911,6 steps
3912,3 steps
3913,6 steps
3914,3 steps
3915,6 steps
3916,5 steps
3917,2 steps
3918,7 steps
3919,2 steps
3920,4 steps
3921,3 steps
3922,3 steps
3923,4 steps
3924,3 steps
3925,5 steps
3926,6 steps
3927,3 steps
3928,5 steps
3929,3 steps
3930,4 steps
3931,6 steps
3932,4 steps
3933,6 steps
3934,7 steps
3935,1 step
3936,3 steps
3937,4 steps
3938,5 steps
3939,4 steps
3940,4 steps
3941,3 steps
3942,3 steps
3943,7 steps
3944,6 steps
3945,7 steps
3946,1 step
3947,3 steps
3948,4 steps
3949,5 steps
3950,3 steps
3951,6 steps
3952,5 steps
3953,1 step
3954,7 steps
3955,6 steps
3956,7 steps
3957,1 step
3958,3 steps
3959,4 steps
3960,3 steps
3961,5 steps
3962,6 steps
3963,3 steps
3964,1 step
3965,7 steps
3966,6 steps
3967,7 steps
3968,1 step
3969,3 steps
3970,7 steps
3971,2 steps
3972,3 steps
3973,4 steps
3974,3 steps
3975,1 step
3976,7 steps
3977,6 steps
3978,7 steps
3979,1 step
3980,7 steps
3981,7 steps
3982,5 steps
3983,5 steps
3984,4 steps
3985,3 steps
3986,1 step
3987,7 steps
3988,6 steps
3989,7 steps
3990,7 steps
3991,2 steps
3992,3 steps
3993,4 steps
3994,5 steps
3995,4 steps
3996,3 steps
3997,1 step
3998,7 steps
3999,6 steps
4000,4 steps
4001,7 steps
4002,2 steps
4003,3 steps
4004,4 steps
4005,5 steps
4006,4 steps
4007,3 steps
4008,2 steps
4009,7 steps
4010,7 steps
4011,4 steps
4012,7 steps
4013,2 steps
4014,3 steps
4015,5 steps
4016,3 steps
4017,6 steps
4018,5 steps
4019,3 steps
4020,2 steps
4021,7 steps
4022,4 steps
4023,7 steps
4024,2 steps
4025,7 steps
4026,1 step
4027,5 steps
4028,6 steps
4029,3 steps
4030,3 steps
4031,2 steps
4032,7 steps
4033,4 steps
4034,7 steps
4035,7 steps
4036,7 steps
4037,3 steps
4038,3 steps
4039,4 steps
4040,4 steps
4041,3 steps
4042,2 steps
4043,7 steps
4044,4 steps
4045,6 steps
4046,6 steps
4047,4 steps
4048,6 steps
4049,4 steps
4050,5 steps
4051,5 steps
4052,7 steps
4053,7 steps
4054,6 steps
4055,7 steps
4056,7 steps
4057,3 steps
4058,3 steps
4059,4 steps
4060,4 steps
4061,3 steps
4062,1 step
4063,7 steps
4064,6 steps
4065,7 steps
4066,1 step
4067,5 steps
4068,6 steps
4069,3 steps
4070,3 steps
4071,6 steps
4072,5 steps
4073,3 steps
4074,4 steps
4075,3 steps
4076,5 steps
4077,6 steps
4078,5 steps
4079,3 steps
4080,2 steps
4081,5 steps
4082,6 steps
4083,3 steps
4084,6 steps
4085,3 steps
4086,6 steps
4087,5 steps
4088,2 steps
4089,7 steps
4090,7 steps
4091,3 steps
4092,3 steps
4093,4 steps
4094,4 steps
4095,4 steps
4096,3 steps
4097,3 steps
4098,7 steps
4099,7 steps
4100,7 steps
4101,4 steps
4102,7 steps
4103,2 steps
4104,3 steps
4105,5 steps
4106,3 steps
4107,6 steps
4108,5 steps
4109,3 steps
4110,4 steps
4111,6 steps
4112,3 steps
4113,5 steps
4114,6 steps
4115,3 steps
4116,5 steps
4117,3 steps
4118,6 steps
4119,5 steps
4120,7 steps
4121,3 steps
4122,6 steps
4123,3 steps
4124,5 steps
4125,2 steps
4126,7 steps
4127,1 step
4128,5 steps
4129,6 steps
4130,2 steps
4131,5 steps
4132,3 steps
4133,6 steps
4134,3 steps
4135,7 steps
4136,7 steps
4137,7 steps
4138,3 steps
4139,3 steps
4140,3 steps
4141,6 steps
4142,5 steps
4143,3 steps
4144,6 steps
4145,4 steps
4146,6 steps
4147,6 steps
4148,4 steps
4149,6 steps
4150,5 steps
4151,3 steps
4152,2 steps
4153,7 steps
4154,4 steps
4155,7 steps
4156,7 steps
4157,7 steps
4158,3 steps
4159,3 steps
4160,3 steps
4161,5 steps
4162,7 steps
4163,7 steps
4164,6 steps
4165,7 steps
4166,7 steps
4167,1 step
4168,5 steps
4169,6 steps
4170,6 steps
4171,3 steps
4172,1 step
4173,7 steps
4174,6 steps
4175,7 steps
4176,1 step
4177,3 steps
4178,6 steps
4179,5 steps
4180,5 steps
4181,6 steps
4182,5 steps
4183,3 steps
4184,4 steps
4185,3 steps
4186,5 steps
4187,6 steps
4188,3 steps
4189,2 steps
4190,3 steps
4191,5 steps
4192,6 steps
4193,3 steps
4194,6 steps
4195,3 steps
4196,6 steps
4197,5 steps
4198,2 steps
4199,7 steps
4200,2 steps
4201,7 steps
4202,4 steps
4203,7 steps
4204,2 steps
4205,7 steps
4206,1 step
4207,5 steps
4208,6 steps
4209,3 steps
4210,7 steps
4211,3 steps
4212,6 steps
4213,3 steps
4214,5 steps
4215,2 steps
4216,7 steps
4217,1 step
4218,5 steps
4219,6 steps
4220,4 steps
4221,6 steps
4222,4 steps
4223,3 steps
4224,6 steps
4225,5 steps
4226,2 steps
4227,7 steps
4228,1 step
4229,5 steps
4230,7 steps
4231,3 steps
4232,3 steps
4233,4 steps
4234,3 steps
4235,3 steps
4236,7 steps
4237,7 steps
4238,7 steps
4239,3 steps
4240,2 steps
4241,5 steps
4242,6 steps
4243,3 steps
4244,4 steps
4245,6 steps
4246,4 steps
4247,6 steps
4248,6 steps
4249,4 steps
4250,7 steps
4251,2 steps
4252,5 steps
4253,3 steps
4254,6 steps
4255,3 steps
4256,7 steps
4257,7 steps
4258,7 steps
4259,3 steps
4260,1 step
4261,7 steps
4262,2 steps
4263,7 steps
4264,4 steps
4265,7 steps
4266,2 steps
4267,7 steps
4268,1 step
4269,5 steps
4270,5 steps
4271,1 step
4272,7 steps
4273,7 steps
4274,6 steps
4275,7 steps
4276,7 steps
4277,5 steps
4278,3 steps
4279,6 steps
4280,6 steps
4281,5 steps
4282,1 step
4283,7 steps
4284,6 steps
4285,7 steps
4286,1 step
4287,3 steps
4288,4 steps
4289,3 steps
4290,3 steps
4291,6 steps
4292,5 steps
4293,3 steps
4294,4 steps
4295,3 steps
4296,5 steps
4297,6 steps
4298,3 steps
4299,5 steps
4300,3 steps
4301,2 steps
4302,7 steps
4303,4 steps
4304,7 steps
4305,7 steps
4306,7 steps
4307,3 steps
4308,3 steps
4309,4 steps
4310,2 steps
4311,5 steps
4312,3 steps
4313,6 steps
4314,3 steps
4315,7 steps
4316,7 steps
4317,7 steps
4318,3 steps
4319,3 steps
4320,7 steps
4321,3 steps
4322,3 steps
4323,4 steps
4324,3 steps
4325,3 steps
4326,7 steps
4327,7 steps
4328,7 steps
4329,3 steps
4330,4 steps
4331,6 steps
4332,4 steps
4333,5 steps
4334,4 steps
4335,3 steps
4336,3 steps
4337,7 steps
4338,7 steps
4339,7 steps
4340,7 steps
4341,3 steps
4342,3 steps
4343,4 steps
4344,5 steps
4345,4 steps
4346,6 steps
4347,4 steps
4348,6 steps
4349,6 steps
4350,7 steps
4351,7 steps
4352,3 steps
4353,3 steps
4354,4 steps
4355,3 steps
4356,3 steps
4357,7 steps
4358,7 steps
4359,7 steps
4360,7 steps
4361,7 steps
4362,7 steps
4363,3 steps
4364,6 steps
4365,3 steps
4366,5 steps
4367,2 steps
4368,7 steps
4369,1 step
4370,3 steps
4371,7 steps
4372,7 steps
4373,7 steps
4374,4 steps
4375,7 steps
4376,2 steps
4377,3 steps
4378,5 steps
4379,3 steps
4380,3 steps
4381,3 steps
4382,7 steps
4383,7 steps
4384,6 steps
4385,7 steps
4386,7 steps
4387,5 steps
4388,5 steps
4389,4 steps
4390,4 steps
4391,3 steps
4392,3 steps
4393,7 steps
4394,6 steps
4395,7 steps
4396,1 step
4397,3 steps
4398,4 steps
4399,5 steps
4400,4 steps
4401,3 steps
4402,2 steps
4403,7 steps
4404,4 steps
4405,6 steps
4406,6 steps
4407,4 steps
4408,6 steps
4409,4 steps
4410,3 steps
4411,6 steps
4412,5 steps
4413,3 steps
4414,6 steps
4415,4 steps
4416,6 steps
4417,6 steps
4418,4 steps
4419,6 steps
4420,2 steps
4421,5 steps
4422,6 steps
4423,3 steps
4424,4 steps
4425,6 steps
4426,4 steps
4427,6 steps
4428,6 steps
4429,4 steps
4430,7 steps
4431,3 steps
4432,3 steps
4433,4 steps
4434,5 steps
4435,4 steps
4436,6 steps
4437,4 steps
4438,6 steps
4439,6 steps
4440,4 steps
4441,6 steps
4442,4 steps
4443,5 steps
4444,invalid number
4445,5 steps
4446,4 steps
4447,6 steps
4448,4 steps
4449,6 steps
4450,6 steps
4451,4 steps
4452,6 steps
4453,4 steps
4454,5 steps
4455,4 steps
4456,3 steps
4457,3 steps
4458,7 steps
4459,7 steps
4460,6 steps
4461,6 steps
4462,4 steps
4463,6 steps
4464,4 steps
4465,3 steps
4466,6 steps
4467,5 steps
4468,2 steps
4469,7 steps
4470,4 steps
4471,6 steps
4472,6 steps
4473,4 steps
4474,6 steps
4475,3 steps
4476,5 steps
4477,6 steps
4478,3 steps
4479,5 steps
4480,6 steps
4481,4 steps
4482,6 steps
4483,6 steps
4484,4 steps
4485,7 steps
4486,2 steps
4487,3 steps
4488,4 steps
4489,5 steps
4490,4 steps
4491,6 steps
4492,4 steps
4493,6 steps
4494,6 steps
4495,7 steps
4496,7 steps
4497,5 steps
4498,5 steps
4499,5 steps
4500,5 steps
4501,5 steps
4502,7 steps
4503,7 steps
4504,6 steps
4505,7 steps
4506,7 steps
4507,3 steps
4508,3 steps
4509,4 steps
4510,5 steps
